latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
39.089977,-121.48069,306.62,0.46,0.64,2016/01/01,"907",N,VIIRS,n,"1",271.5,0.81,N,"0"
39.087772,-121.482552,313.09,0.46,0.64,2016/01/01,"907",N,VIIRS,n,"1",271.35,1.57,N,"0"
34.606022,-117.335243,301.71,0.5,0.49,2016/01/01,"908",N,VIIRS,n,"1",268.7,1.29,N,"2"
33.777344,-118.237244,296.88,0.55,0.51,2016/01/01,"908",N,VIIRS,n,"1",282.92,1.06,N,"2"
35.720783,-120.668213,299.23,0.39,0.6,2016/01/01,"908",N,VIIRS,n,"1",270.13,0.82,N,"0"
33.717255,-117.709106,299.71,0.51,0.49,2016/01/01,"908",N,VIIRS,n,"1",279.45,0.44,N,"2"
33.776833,-118.231232,296.04,0.55,0.51,2016/01/01,"908",N,VIIRS,n,"1",279.94,1.08,N,"2"
34.606983,-117.33902,295.06,0.5,0.49,2016/01/01,"908",N,VIIRS,n,"1",268.57,0.79,N,"2"
32.937832,-115.810417,299.55,0.39,0.44,2016/01/01,"909",N,VIIRS,n,"1",276.96,0.74,N,"0"
33.101643,-116.128815,306.36,0.41,0.45,2016/01/01,"909",N,VIIRS,n,"1",270.05,0.82,N,"0"
33.099785,-116.12793,308.06,0.41,0.45,2016/01/01,"909",N,VIIRS,n,"1",270.11,0.78,N,"0"
32.718716,-114.961372,309.67,0.53,0.42,2016/01/01,"909",N,VIIRS,n,"1",271.86,0.96,N,"0"
39.744389,-121.820221,315.72,0.33,0.55,2016/01/01,"1047",N,VIIRS,n,"1",269.85,0.77,N,"0"
38.069187,-122.136749,297.74,0.35,0.57,2016/01/01,"1048",N,VIIRS,n,"1",278.23,1.17,N,"2"
38.170876,-121.448853,306.84,0.38,0.59,2016/01/01,"1048",N,VIIRS,n,"1",271.5,0.86,N,"0"
36.030914,-119.002098,297.48,0.58,0.69,2016/01/01,"1048",N,VIIRS,n,"1",270.03,0.8,N,"0"
35.555588,-115.470535,326.75,0.46,0.39,2016/01/01,"2028",N,VIIRS,n,"1",281.69,2,D,"2"
39.066727,-120.430344,338.68,0.45,0.47,2016/01/01,"2029",N,VIIRS,n,"1",270.86,5.85,D,"0"
40.422283,-123.810333,308.25,0.47,0.39,2016/01/02,"1028",N,VIIRS,n,"1",269.34,1.28,N,"0"
40.41872,-123.811455,296.36,0.47,0.39,2016/01/02,"1028",N,VIIRS,n,"1",269.07,0.66,N,"0"
39.067226,-120.441986,315.68,0.47,0.47,2016/01/02,"1029",N,VIIRS,n,"1",264.16,1.83,N,"0"
33.77462,-118.227989,304.12,0.41,0.6,2016/01/02,"1030",N,VIIRS,n,"1",279.97,1.4,N,"2"
33.778732,-118.227203,295.48,0.41,0.6,2016/01/02,"1030",N,VIIRS,n,"1",278.32,0.54,N,"2"
33.776825,-118.236595,295.27,0.41,0.6,2016/01/02,"1030",N,VIIRS,n,"1",281.84,1.74,N,"2"
33.714397,-117.709557,300.04,0.43,0.62,2016/01/02,"1030",N,VIIRS,n,"1",276.02,0.45,N,"2"
36.1577,-121.180984,326.97,0.51,0.66,2016/01/02,"2010",N,VIIRS,n,"1",280.02,3.45,D,"0"
37.482689,-120.937134,326.35,0.43,0.46,2016/01/03,"2131",N,VIIRS,n,"1",281.67,2.38,D,"0"
34.621582,-117.100563,302.71,0.4,0.37,2016/01/05,"933",N,VIIRS,n,"1",277.16,1.13,N,"2"
34.606888,-117.335175,300.14,0.4,0.37,2016/01/05,"933",N,VIIRS,n,"1",276.65,0.55,N,"2"
34.33279,-118.520599,296.21,0.47,0.48,2016/01/06,"914",N,VIIRS,n,"1",275.74,0.51,N,"2"
34.606186,-117.334221,299.18,0.41,0.45,2016/01/06,"914",N,VIIRS,n,"1",276.2,1.18,N,"2"
34.150982,-118.193611,295.75,0.45,0.47,2016/01/06,"915",N,VIIRS,n,"1",277.54,0.62,N,"2"
33.819397,-118.245026,295.07,0.45,0.47,2016/01/06,"915",N,VIIRS,n,"1",283.11,0.76,N,"2"
34.092533,-117.528816,322.91,0.41,0.45,2016/01/06,"915",N,VIIRS,n,"1",279.54,2.08,N,"2"
